Tissue	project	num_samples	rail_ids
Adipose_Tissue	SRP012682	620	50127,50162,50170,50181,50227,50230,50246,50252,50273,50274,50280,50310,50319,50320,50332,50345,50361,50377,50394,50395,50406,50477,50542,50567,50579,50587,50591,50611,50631,50633,50654,50677,50679,50684,50705,50733,50745,50766,50770,50775,50812,50838,50848,50850,50853,50854,50878,50880,50885,50903,50913,50917,50949,50987,51043,51049,51050,51052,51065,51068,51069,51099,51114,51142,51152,51161,51165,51174,51202,51208,51212,51214,51215,51239,51240,51313,51321,51364,51387,51416,51447,51460,51462,51464,51473,51479,51511,51516,51517,51528,51590,51603,51610,51618,51623,51663,51698,51728,51775,51783,51791,51793,51796,51812,51814,51832,51839,51850,51854,51856,51866,51876,51879,51894,51900,51902,51916,51945,51953,51958,51972,51984,51991,51996,52022,52097,52112,52115,52144,52166,52198,52209,52210,52211,52232,52258,52279,52286,52298,52300,52393,52396,52399,52406,52427,52440,52443,52487,52497,52525,52534,52553,52568,52583,52589,52600,52646,52657,52664,52678,52712,52764,52765,52818,52824,52830,52846,52855,52859,52896,52932,52937,52938,52951,52977,52988,52991,52995,53050,53051,53058,53063,53077,53091,53097,53130,53133,53139,53141,53182,53215,53229,53248,53252,53256,53266,53275,53302,53315,53343,53371,53372,53391,53422,53438,53441,53464,53481,53497,53503,53513,53523,53528,53529,53557,53584,53637,53644,53659,53695,53696,53713,53726,53752,53757,53766,53767,53779,53790,53793,53796,53805,53824,53832,53834,53845,53850,53855,53868,53900,53910,53927,53947,53970,53982,53986,53991,54021,54050,54051,54070,54072,54079,54088,54094,54110,54116,54140,54180,54195,54201,54260,54269,54302,54317,54333,54366,54380,54384,54388,54416,54421,54426,54429,54445,54456,54473,54485,54499,54522,54543,54555,54561,54565,54578,54595,54613,54616,54636,54661,54704,54710,54732,54734,54741,54747,54750,54774,54786,54796,54808,54817,54827,54842,54843,54863,54883,54901,54902,54924,54950,54963,54978,55018,55024,55044,55050,55062,55075,55108,55115,55117,55124,55132,55141,55158,55169,55187,55218,55227,55243,55250,55264,55275,55313,55342,55360,55363,55364,55368,55370,55391,55414,55419,55422,55440,55441,55460,55471,55472,55536,55562,55565,55572,55580,55590,55629,55642,55649,55707,55725,55732,55744,55746,55752,55754,55811,55858,55863,55874,55880,55887,55895,55906,55915,55946,55947,55951,55954,56003,56016,56043,56070,56074,56115,56148,56153,56160,56192,56219,56236,56304,56324,56330,56344,56351,56362,56367,56385,56399,56402,56409,56423,56473,56491,56492,56505,56519,56524,56526,56557,56565,56566,56633,56639,56641,56643,56650,56654,56661,56669,56670,56699,56717,56737,56773,56806,56821,56840,56858,56876,56885,56919,56923,56933,56948,56954,56959,56960,56998,57006,57015,57035,57079,57084,57093,57098,57107,57118,57122,57124,57136,57143,57174,57226,57237,57241,57257,57276,57282,57304,57342,57345,57350,57392,57397,57405,57410,57421,57436,57440,57495,57530,57533,57536,57582,57584,57588,57600,57610,57634,57666,57697,57701,57719,57731,57732,57743,57746,57766,57775,57779,57789,57790,57822,57836,57838,57842,57877,57885,57906,57919,57930,57931,57960,57965,57974,57993,57996,58003,58005,58013,58033,58046,58075,58076,58078,58094,58112,58132,58164,58212,58240,58247,58271,58284,58291,58307,58313,58321,58327,58345,58379,58397,58401,58404,58414,58432,58452,58471,58478,58502,58523,58531,58568,58572,58586,58591,58602,58610,58618,58624,58634,58653,58654,58685,58686,58733,58766,58791,58794,58805,58823,58825,58853,58862,58878,58886,58891,58909,58918,58974,58985,59030,59041,59045,59051,59066,59071,59079,59092,59103,59105,59135,59151,59172,59223,59224,59306,59327,59344,59361,59363,59368,59371,59382,59389,59398,59414,59447,59479,59498,59509,59520,59533,59552,59556,59563,59564,59567,59572,59578,59581,59582,59609,59624,59638,59652,59687,59728
Adrenal_Gland	SRP012682	159	50141,50223,50226,50317,50497,50563,50693,50709,50738,50751,50823,50828,50829,50869,50888,50983,50998,51028,51106,51125,51160,51226,51273,51331,51417,51470,51531,51542,51567,51643,51656,51703,51829,51982,51990,52295,52415,52437,52627,52648,52661,52679,52698,52820,52869,52929,52954,52961,52967,52981,53042,53044,53061,53115,53188,53217,53618,53671,53725,53768,53785,53786,53851,53863,53871,53925,53959,53987,54036,54117,54163,54182,54241,54256,54319,54381,54433,54481,54624,54634,54635,54669,54673,54768,54847,55017,55064,55106,55140,55171,55226,55236,55300,55354,55427,55593,55678,55708,55747,55788,55885,56063,56128,56134,56189,56384,56389,56390,56463,56521,56604,56682,56686,56812,56825,56831,56928,57287,57332,57341,57395,57433,57466,57471,57528,57595,57694,57706,57736,57784,57786,57845,57846,57899,57947,58071,58134,58339,58403,58464,58667,58726,58730,58760,58822,58908,58972,58987,58989,59028,59085,59108,59178,59196,59267,59358,59481,59639,59650
Bladder	SRP012682	11	50326,50638,52001,52351,53907,54915,55161,57180,57480,58926,59651
Blood	SRP012682	595	50122,50136,50138,50146,50158,50165,50169,50186,50214,50249,50254,50260,50337,50360,50365,50380,50422,50438,50447,50448,50453,50454,50455,50462,50511,50520,50530,50546,50569,50580,50585,50617,50624,50642,50644,50645,50663,50670,50676,50701,50711,50741,50742,50746,50759,50773,50782,50795,50799,50851,50867,50922,50928,50993,51030,51071,51092,51093,51098,51110,51131,51136,51144,51149,51150,51151,51153,51164,51199,51235,51341,51354,51388,51399,51407,51415,51434,51466,51534,51548,51591,51667,51702,51717,51737,51742,51752,51753,51762,51765,51768,51772,51781,51782,51788,51790,51797,51807,51810,51824,51845,51929,51951,51956,51967,52023,52025,52045,52047,52055,52057,52062,52067,52068,52070,52072,52074,52081,52106,52125,52141,52146,52162,52164,52188,52203,52254,52277,52327,52346,52353,52354,52359,52366,52369,52376,52384,52386,52401,52432,52433,52454,52466,52474,52490,52691,52697,52708,52718,52744,52745,52784,52785,52796,52801,52840,52841,52845,52854,52876,52883,52886,52916,52930,52997,52999,53006,53016,53019,53021,53031,53035,53048,53054,53071,53082,53125,53167,53171,53185,53320,53322,53325,53326,53328,53333,53337,53345,53354,53361,53386,53392,53399,53416,53429,53440,53470,53477,53514,53515,53559,53569,53590,53592,53594,53613,53647,53669,53672,53674,53680,53698,53706,53709,53720,53749,53784,53822,53862,53976,53997,54023,54032,54039,54044,54054,54055,54084,54096,54114,54122,54178,54210,54235,54291,54293,54296,54312,54324,54332,54344,54347,54348,54351,54352,54360,54369,54399,54427,54438,54451,54479,54495,54501,54535,54538,54581,54607,54609,54630,54641,54655,54664,54671,54678,54680,54688,54694,54708,54718,54737,54765,54775,54781,54802,54816,54818,54820,54823,54887,54896,54925,54931,54934,54945,54947,54953,54954,54958,54986,54995,54998,55000,55005,55068,55116,55174,55206,55222,55245,55255,55265,55270,55273,55276,55279,55281,55287,55289,55307,55309,55311,55320,55324,55325,55329,55344,55365,55389,55411,55436,55448,55451,55474,55475,55513,55521,55556,55578,55583,55585,55597,55605,55607,55630,55636,55648,55658,55663,55666,55667,55673,55674,55680,55683,55704,55706,55724,55794,55829,55831,55888,55900,55908,55910,55913,55918,55939,55966,55972,55981,55991,56001,56010,56108,56116,56200,56233,56241,56254,56272,56306,56318,56334,56387,56434,56443,56465,56500,56529,56542,56561,56562,56582,56586,56599,56616,56620,56635,56655,56656,56696,56705,56711,56728,56752,56769,56826,56830,56844,56869,56873,56880,56887,56888,56891,56903,56904,56907,57003,57011,57012,57025,57038,57112,57150,57167,57189,57196,57203,57206,57211,57222,57242,57250,57251,57269,57272,57307,57308,57319,57346,57353,57356,57366,57445,57484,57502,57509,57520,57526,57537,57539,57544,57545,57548,57552,57564,57609,57626,57660,57678,57688,57710,57759,57799,57805,57828,57837,57848,57852,57861,57865,57871,57873,57875,57887,57888,57889,57891,57898,57913,57925,57927,57935,57964,58007,58009,58023,58037,58149,58161,58166,58170,58184,58192,58204,58208,58211,58238,58243,58245,58246,58316,58386,58420,58430,58434,58460,58474,58486,58490,58492,58497,58498,58500,58524,58526,58528,58546,58558,58565,58567,58570,58577,58605,58678,58693,58713,58746,58817,58818,58826,58837,58841,58846,58848,58857,58858,58869,58877,58897,58907,58940,58968,59044,59047,59067,59073,59097,59098,59117,59120,59121,59122,59126,59128,59142,59149,59153,59203,59207,59210,59220,59255,59304,59332,59359,59360,59367,59394,59402,59410,59426,59439,59453,59459,59469,59471,59474,59482,59496,59507,59517,59521,59522,59523,59526,59535,59546,59561,59562,59569,59585,59587,59594,59611,59634,59644,59654,59679,59684,59695,59708,59720
Blood_Vessel	SRP012682	750	50112,50116,50119,50152,50154,50172,50190,50196,50239,50242,50269,50279,50281,50313,50321,50324,50335,50340,50389,50402,50409,50415,50441,50463,50466,50468,50493,50512,50521,50523,50525,50531,50568,50571,50573,50574,50578,50581,50593,50596,50603,50609,50621,50634,50636,50637,50655,50656,50681,50688,50694,50695,50703,50713,50724,50726,50740,50754,50784,50786,50790,50793,50803,50816,50849,50857,50865,50866,50883,50887,50902,50926,50943,50957,50960,50971,50989,50990,51016,51062,51072,51084,51086,51096,51172,51177,51197,51203,51211,51217,51223,51229,51237,51254,51261,51287,51295,51306,51319,51325,51347,51391,51408,51411,51412,51425,51430,51449,51482,51504,51513,51519,51530,51545,51557,51564,51580,51583,51596,51600,51607,51619,51635,51640,51644,51670,51671,51673,51678,51683,51693,51721,51748,51777,51795,51819,51825,51831,51849,51868,51880,51882,51893,51911,51912,51934,51942,51977,51978,52000,52020,52075,52086,52090,52113,52123,52131,52139,52174,52195,52220,52222,52223,52224,52235,52259,52262,52269,52294,52305,52320,52328,52336,52361,52402,52411,52426,52435,52438,52445,52455,52470,52477,52479,52484,52502,52520,52540,52541,52543,52544,52550,52554,52562,52577,52590,52596,52628,52638,52644,52650,52668,52683,52686,52693,52703,52709,52732,52738,52742,52772,52775,52776,52822,52825,52837,52848,52862,52873,52878,52884,52909,52913,52922,52927,52935,52936,52956,52963,52964,52970,52979,52980,53033,53034,53052,53056,53069,53070,53092,53110,53117,53129,53134,53156,53204,53209,53214,53231,53235,53253,53254,53263,53267,53268,53276,53292,53313,53317,53344,53356,53365,53404,53405,53433,53444,53449,53466,53475,53482,53495,53496,53506,53517,53520,53565,53585,53598,53627,53628,53633,53663,53664,53667,53673,53679,53701,53707,53724,53740,53756,53760,53770,53787,53807,53828,53839,53843,53866,53870,53874,53889,53890,53934,53935,53939,53943,53951,53952,53958,53998,54009,54028,54074,54102,54109,54127,54129,54160,54166,54174,54177,54188,54193,54203,54224,54238,54259,54264,54267,54270,54292,54306,54378,54383,54391,54397,54414,54437,54452,54458,54468,54494,54512,54520,54530,54554,54583,54591,54600,54637,54639,54643,54662,54689,54714,54755,54759,54767,54780,54787,54797,54799,54800,54803,54821,54824,54858,54882,54890,54892,54898,54906,54908,54929,54938,54943,54957,54973,54981,55023,55028,55035,55070,55077,55079,55110,55114,55136,55138,55148,55163,55173,55184,55193,55207,55208,55209,55212,55213,55225,55246,55249,55259,55267,55272,55274,55282,55295,55297,55322,55358,55362,55380,55404,55425,55432,55442,55458,55461,55469,55497,55512,55523,55525,55538,55554,55555,55559,55563,55571,55581,55606,55617,55655,55657,55669,55687,55726,55765,55773,55805,55820,55835,55839,55843,55859,55862,55867,55916,55936,55971,56014,56015,56031,56042,56051,56068,56073,56082,56086,56094,56101,56119,56155,56158,56183,56184,56191,56198,56212,56216,56222,56250,56288,56307,56308,56314,56320,56333,56378,56392,56400,56427,56442,56449,56455,56467,56468,56483,56490,56503,56507,56510,56512,56518,56523,56525,56531,56535,56567,56570,56610,56625,56636,56664,56672,56688,56707,56709,56721,56738,56739,56748,56753,56763,56768,56784,56788,56793,56800,56804,56807,56828,56851,56856,56867,56874,56906,56914,56924,56927,56969,56970,56981,56994,57009,57024,57028,57029,57057,57061,57071,57073,57075,57077,57101,57108,57130,57146,57149,57152,57159,57160,57175,57177,57205,57215,57219,57227,57238,57247,57258,57285,57290,57302,57310,57320,57338,57339,57352,57370,57374,57403,57407,57409,57428,57431,57459,57462,57489,57504,57513,57519,57547,57613,57642,57662,57664,57677,57685,57702,57716,57723,57742,57795,57796,57802,57811,57814,57833,57866,57867,57874,57876,57879,57901,57903,57904,57920,57939,57942,57945,57955,57967,57986,57990,58017,58028,58042,58049,58059,58061,58066,58085,58150,58176,58188,58194,58219,58230,58237,58250,58264,58281,58290,58293,58296,58309,58329,58332,58347,58357,58360,58371,58394,58410,58433,58465,58466,58494,58509,58512,58522,58534,58535,58538,58541,58608,58642,58662,58670,58687,58700,58706,58708,58717,58734,58758,58776,58779,58780,58787,58792,58799,58828,58833,58849,58863,58879,58925,58931,58938,58942,58952,58958,58960,58978,59002,59008,59012,59016,59031,59040,59057,59093,59133,59141,59166,59169,59177,59179,59197,59198,59205,59208,59235,59241,59287,59293,59294,59302,59324,59335,59336,59353,59365,59392,59396,59401,59428,59430,59438,59441,59442,59455,59476,59499,59502,59545,59558,59570,59588,59598,59603,59607,59617,59629,59642,59647,59662,59673,59701,59712,59721,59722,59729,59744,59752,59757
Bone_Marrow	SRP012682	102	50204,50417,50559,50809,51045,51120,51162,51393,51433,51629,51823,51857,51885,52050,52082,52109,52122,52134,52403,52714,52730,52759,52856,52933,53111,53124,53149,53150,53357,53370,53406,53434,53472,53485,53583,53814,53899,54155,54202,54250,54343,54415,54430,54482,54614,54633,54709,54829,54916,55176,55224,55304,55430,55806,55927,56007,56188,56217,56264,56266,56395,56398,56493,56563,56571,56585,56602,56897,56898,56921,57032,57127,57162,57200,57492,57496,57517,57527,57549,57655,57851,57938,58008,58517,58860,58861,58868,58896,58912,59038,59070,59127,59225,59273,59282,59383,59456,59549,59612,59636,59680,59689
Brain	SRP012682	1409	50099,50105,50110,50124,50126,50133,50159,50160,50163,50167,50178,50179,50201,50209,50210,50212,50213,50225,50233,50237,50250,50263,50264,50272,50276,50277,50287,50291,50293,50294,50300,50301,50311,50314,50325,50341,50347,50355,50370,50371,50374,50383,50392,50400,50418,50419,50423,50424,50425,50430,50437,50439,50445,50451,50456,50459,50472,50475,50479,50480,50482,50484,50485,50486,50488,50499,50500,50501,50507,50508,50513,50516,50518,50519,50522,50532,50537,50548,50562,50582,50589,50599,50602,50615,50619,50620,50626,50630,50635,50646,50647,50651,50662,50664,50687,50697,50698,50704,50707,50712,50727,50737,50748,50750,50756,50758,50760,50761,50765,50769,50771,50772,50774,50781,50785,50791,50794,50798,50800,50801,50802,50804,50810,50815,50817,50825,50827,50832,50833,50834,50845,50846,50856,50858,50861,50863,50881,50896,50914,50920,50924,50929,50945,50947,50958,50962,50965,50967,50969,50972,50977,50979,50986,50995,51004,51008,51012,51022,51037,51060,51075,51077,51082,51088,51103,51107,51109,51112,51119,51121,51122,51130,51133,51134,51139,51147,51155,51159,51168,51171,51178,51185,51188,51190,51192,51194,51196,51220,51225,51227,51228,51231,51243,51258,51276,51278,51279,51293,51308,51316,51322,51326,51327,51339,51342,51348,51356,51359,51361,51377,51382,51385,51386,51397,51402,51404,51406,51409,51413,51418,51427,51429,51436,51437,51441,51448,51450,51451,51455,51456,51457,51459,51463,51474,51490,51499,51502,51505,51506,51512,51514,51515,51518,51520,51522,51526,51553,51560,51565,51573,51575,51577,51587,51593,51599,51604,51651,51665,51677,51686,51697,51714,51715,51716,51718,51741,51755,51756,51757,51764,51769,51778,51784,51802,51803,51808,51809,51816,51836,51837,51840,51847,51852,51864,51865,51875,51878,51888,51899,51903,51904,51906,51920,51923,51940,51943,51966,51974,51975,51981,51992,51993,52002,52006,52009,52031,52032,52034,52048,52053,52056,52059,52069,52071,52076,52077,52079,52080,52083,52084,52085,52088,52092,52099,52132,52152,52154,52158,52163,52167,52175,52176,52185,52189,52194,52216,52229,52240,52244,52252,52253,52257,52278,52292,52297,52299,52301,52304,52308,52309,52311,52334,52344,52349,52352,52356,52367,52371,52372,52378,52380,52381,52382,52390,52429,52439,52442,52450,52457,52458,52459,52475,52480,52492,52498,52499,52503,52510,52511,52521,52522,52526,52531,52533,52547,52548,52560,52567,52572,52580,52584,52591,52592,52601,52605,52608,52623,52630,52651,52654,52665,52670,52671,52675,52680,52689,52699,52701,52704,52723,52724,52725,52727,52728,52729,52734,52740,52741,52743,52748,52750,52752,52758,52781,52789,52790,52791,52803,52806,52807,52817,52829,52832,52834,52851,52852,52857,52870,52892,52901,52903,52908,52910,52919,52942,52946,52949,52978,52984,52985,52989,53003,53005,53008,53013,53023,53026,53036,53037,53041,53043,53047,53053,53057,53067,53076,53099,53103,53107,53109,53114,53116,53123,53142,53143,53151,53152,53153,53157,53158,53161,53162,53168,53170,53175,53187,53189,53192,53196,53216,53223,53225,53234,53251,53261,53279,53289,53295,53296,53298,53319,53324,53327,53330,53331,53332,53341,53346,53348,53350,53358,53360,53362,53363,53375,53376,53384,53385,53387,53389,53395,53417,53419,53423,53426,53448,53451,53452,53463,53467,53468,53469,53474,53479,53508,53531,53534,53536,53544,53554,53564,53567,53582,53596,53602,53614,53619,53622,53635,53636,53645,53649,53650,53651,53654,53655,53660,53661,53675,53677,53681,53684,53687,53690,53691,53699,53704,53716,53717,53730,53732,53735,53736,53737,53739,53758,53759,53774,53775,53782,53783,53788,53795,53813,53815,53819,53826,53841,53848,53857,53859,53861,53867,53885,53891,53893,53897,53898,53913,53914,53922,53929,53931,53938,53964,53966,53969,53971,53977,53979,53983,53988,53989,53990,54004,54014,54024,54029,54058,54059,54064,54069,54080,54090,54101,54113,54123,54124,54130,54131,54146,54165,54167,54192,54194,54197,54208,54212,54216,54233,54234,54245,54251,54253,54255,54257,54258,54273,54277,54285,54287,54289,54294,54295,54300,54301,54307,54309,54310,54313,54314,54315,54321,54322,54326,54328,54329,54330,54338,54356,54358,54392,54395,54398,54404,54408,54424,54434,54444,54449,54450,54453,54460,54461,54462,54464,54474,54483,54489,54498,54506,54516,54521,54524,54533,54546,54547,54548,54550,54564,54569,54572,54588,54598,54610,54612,54617,54620,54622,54623,54627,54628,54642,54648,54652,54658,54663,54668,54672,54674,54677,54682,54686,54698,54712,54715,54721,54722,54723,54731,54743,54746,54758,54777,54779,54782,54791,54826,54835,54837,54844,54845,54852,54853,54854,54873,54877,54880,54885,54886,54912,54913,54937,54946,54959,54962,54964,54965,54966,54974,54975,54980,54982,54992,54993,55002,55006,55008,55010,55011,55013,55021,55022,55026,55029,55039,55049,55053,55059,55063,55072,55080,55096,55105,55111,55120,55122,55126,55129,55159,55172,55177,55182,55195,55232,55237,55253,55256,55263,55266,55268,55271,55280,55283,55285,55299,55312,55318,55319,55330,55339,55346,55348,55352,55376,55382,55396,55397,55399,55400,55405,55410,55424,55426,55431,55446,55449,55480,55481,55483,55486,55490,55496,55500,55503,55505,55506,55507,55526,55541,55550,55558,55574,55575,55577,55579,55584,55594,55595,55604,55609,55612,55614,55619,55624,55625,55626,55631,55632,55650,55651,55664,55672,55681,55684,55690,55693,55694,55701,55703,55714,55717,55718,55719,55749,55762,55769,55774,55782,55795,55797,55800,55817,55832,55833,55842,55856,55866,55886,55896,55901,55911,55924,55928,55931,55949,55956,55960,55961,55963,55965,55979,56005,56006,56013,56018,56023,56029,56035,56037,56046,56047,56048,56052,56059,56077,56081,56087,56104,56107,56114,56130,56131,56137,56154,56164,56165,56171,56185,56190,56206,56224,56226,56230,56231,56235,56242,56245,56246,56253,56260,56267,56275,56297,56309,56310,56321,56326,56331,56352,56354,56355,56358,56369,56396,56404,56406,56431,56435,56438,56446,56478,56480,56501,56508,56520,56528,56532,56537,56543,56546,56547,56556,56558,56569,56575,56577,56581,56583,56587,56589,56595,56596,56611,56624,56628,56632,56638,56640,56665,56674,56684,56698,56700,56713,56719,56729,56731,56735,56741,56747,56760,56764,56765,56766,56796,56803,56811,56818,56819,56822,56834,56839,56859,56864,56865,56875,56881,56896,56899,56910,56911,56917,56918,56920,56922,56925,56929,56934,56943,56946,56992,57001,57004,57031,57043,57048,57050,57051,57060,57067,57076,57078,57081,57097,57103,57109,57113,57123,57126,57192,57201,57209,57228,57232,57245,57246,57253,57255,57262,57263,57293,57296,57298,57303,57306,57311,57313,57314,57315,57318,57324,57329,57334,57336,57340,57348,57351,57365,57372,57379,57384,57385,57386,57393,57396,57402,57430,57435,57451,57481,57482,57498,57501,57510,57515,57518,57521,57522,57534,57542,57551,57554,57555,57559,57565,57577,57589,57592,57597,57607,57621,57622,57625,57630,57636,57637,57647,57648,57658,57665,57674,57681,57687,57705,57724,57729,57735,57744,57748,57749,57750,57752,57761,57768,57778,57781,57797,57798,57809,57826,57829,57843,57856,57857,57859,57881,57886,57895,57897,57905,57912,57916,57921,57923,57941,57946,57948,57950,57952,57975,57981,57994,57995,58015,58018,58031,58035,58041,58045,58047,58048,58050,58058,58065,58070,58077,58080,58086,58088,58095,58108,58109,58117,58151,58158,58159,58163,58168,58175,58180,58183,58187,58189,58191,58195,58196,58197,58205,58210,58222,58224,58234,58239,58262,58272,58277,58278,58283,58297,58301,58305,58308,58323,58324,58326,58343,58349,58365,58388,58392,58393,58413,58421,58424,58435,58445,58450,58481,58483,58484,58495,58503,58506,58510,58513,58514,58539,58562,58573,58582,58590,58595,58601,58614,58621,58622,58627,58632,58637,58639,58644,58647,58649,58652,58655,58657,58668,58669,58711,58729,58731,58739,58741,58742,58747,58748,58756,58757,58762,58795,58800,58802,58803,58806,58809,58813,58816,58827,58832,58839,58844,58847,58850,58854,58867,58871,58873,58876,58887,58889,58915,58919,58927,58929,58930,58950,58955,58973,58977,58984,58993,59003,59009,59022,59023,59048,59069,59075,59078,59081,59106,59118,59119,59123,59131,59138,59147,59154,59156,59158,59167,59175,59188,59189,59191,59193,59213,59215,59221,59228,59234,59240,59268,59269,59272,59279,59280,59285,59295,59308,59309,59319,59326,59329,59333,59334,59352,59362,59381,59393,59397,59404,59405,59411,59423,59449,59451,59452,59454,59458,59461,59473,59477,59478,59480,59485,59487,59491,59504,59505,59514,59530,59532,59540,59547,59548,59555,59559,59560,59571,59595,59597,59601,59604,59610,59614,59615,59621,59627,59655,59656,59661,59663,59674,59678,59685,59686,59694,59699,59700,59707,59710,59715,59718,59735,59747,59748,59753
Breast	SRP012682	218	50184,50228,50296,50307,50323,50411,50444,50446,50495,50600,50629,50661,50718,50780,50814,50836,50923,50961,50994,51002,51035,51053,51176,51207,51210,51274,51345,51371,51400,51539,51614,51689,51738,51859,51919,52005,52018,52094,52100,52116,52119,52177,52197,52200,52239,52268,52289,52481,52542,52549,52625,52688,52762,52763,52844,52899,52904,52917,52955,52959,53024,53068,53146,53219,53224,53245,53397,53484,53490,53491,53501,53510,53573,53577,53593,53612,53616,53754,53776,53821,53882,53932,53950,54048,54073,54099,54121,54136,54144,54148,54184,54206,54221,54231,54275,54297,54355,54403,54514,54618,54644,54690,54695,54834,54840,54870,54942,55007,55014,55034,55061,55081,55085,55231,55233,55310,55369,55384,55429,55447,55477,55528,55601,55665,55686,55713,55736,55743,55830,55869,55922,55998,56210,56234,56256,56282,56284,56363,56414,56426,56452,56487,56648,56703,56710,56730,56751,56755,56775,56905,56964,56991,57022,57027,57036,57040,57064,57085,57144,57145,57154,57178,57213,57321,57400,57441,57467,57820,57821,57849,57860,57884,58038,58081,58087,58091,58155,58182,58228,58236,58270,58300,58319,58334,58336,58364,58399,58407,58417,58463,58508,58569,58578,58603,58671,58684,58790,59020,59021,59102,59132,59134,59231,59263,59275,59296,59350,59429,59472,59492,59500,59506,59539,59613,59649,59697,59704,59727
Cervix_Uteri	SRP012682	11	50284,52243,52282,52895,54106,56122,56530,56776,57137,58788,59374
Colon	SRP012682	376	50168,50174,50221,50231,50241,50243,50248,50306,50343,50349,50403,50429,50607,50649,50671,50691,50714,50729,50874,50916,50927,50930,50975,51005,51006,51014,51023,51040,51051,51057,51097,51105,51132,51247,51256,51284,51298,51350,51368,51369,51380,51435,51452,51467,51486,51489,51492,51503,51536,51566,51645,51648,51662,51685,51780,51804,51815,51838,51871,51872,51883,51889,51908,51917,51926,51936,51938,51952,51957,51963,52026,52037,52105,52126,52142,52172,52272,52307,52312,52500,52504,52505,52530,52555,52609,52634,52647,52707,52715,52719,52736,52787,52788,52792,52793,52835,52849,52867,52875,52918,52924,52966,52971,52992,53038,53045,53064,53072,53093,53118,53172,53177,53195,53208,53226,53236,53238,53394,53402,53408,53493,53509,53516,53522,53581,53600,53610,53630,53634,53662,53741,53778,53791,53818,53831,53869,53873,53877,53923,53937,53981,54008,54042,54047,54067,54107,54139,54199,54211,54214,54237,54239,54240,54247,54278,54311,54337,54428,54436,54454,54515,54529,54573,54626,54651,54681,54687,54693,54735,54736,54752,54772,54790,54795,54861,54872,54884,54889,54894,54920,54988,55037,55088,55144,55154,55166,55167,55181,55185,55200,55223,55438,55468,55488,55514,55557,55561,55564,55592,55613,55692,55712,55715,55723,55737,55767,55785,55786,55809,55834,55848,55883,55897,55932,55933,55940,55970,55990,55993,56012,56061,56078,56095,56098,56100,56118,56121,56132,56152,56177,56182,56205,56208,56252,56263,56283,56370,56412,56420,56445,56469,56475,56497,56511,56644,56658,56697,56704,56744,56745,56749,56758,56779,56791,56820,56835,56939,56953,56977,57052,57080,57082,57083,57099,57110,57131,57187,57202,57220,57268,57297,57358,57382,57434,57446,57478,57479,57529,57557,57576,57593,57596,57627,57628,57643,57671,57684,57714,57718,57725,57728,57740,57764,57769,57787,57788,57825,57883,57915,57926,57944,57956,58001,58020,58025,58053,58062,58063,58073,58128,58143,58206,58214,58258,58260,58320,58341,58342,58353,58358,58381,58412,58416,58443,58446,58462,58499,58504,58566,58589,58617,58650,58672,58712,58732,58752,58807,58964,59034,59036,59042,59060,59062,59089,59101,59112,59157,59168,59170,59180,59194,59226,59239,59248,59260,59298,59318,59355,59378,59388,59391,59408,59416,59467,59511,59518,59550,59591,59605,59630,59641,59676,59677,59726,59745,59754
