region	either	filters	group	samples
chr4:20763023-20763023	2	coverage_sum>=1&strand=-	KCNIP4	0,5,10,15,20,25,100,1000,10000
chr4:20763098-20763098	1	coverage_sum>=1&strand=-	KCNIP4	0,5,10,15,20,25,100,1000,10000
chr7:105068474-105068474	2	coverage_sum>=1&strand=+	KMT2E_1	0,5,10,15,20,25,100,1000,10000
chr7:105068478-105068478	2	coverage_sum>=1&strand=+	KMT2E_2	0,5,10,15,20,25,100,1000,10000
chr7:105068546-105068546	1	coverage_sum>=1&strand=+	KMT2E_1	0,5,10,15,20,25,100,1000,10000
chr7:105068546-105068546	1	coverage_sum>=1&strand=+	KMT2E_2	0,5,10,15,20,25,100,1000,10000
chr4:157146414-157146414	2	coverage_sum>=1&strand=+	GLRB_2	0,5,10,15,20,25,100,1000,10000
chr4:157146419-157146419	2	coverage_sum>=1&strand=+	GLRB_1	0,5,10,15,20,25,100,1000,10000
chr4:157146481-157146481	1	coverage_sum>=1&strand=+	GLRB_1	0,5,10,15,20,25,100,1000,10000
chr4:157146481-157146481	1	coverage_sum>=1&strand=+	GLRB_2	0,5,10,15,20,25,100,1000,10000
